sample_id,grid_id,study_area,year,metric,value,name,unit,fragmentation_interpretation
ESP_S5,ESP_0602,Spain,1990,pd,0.0896,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S5,ESP_0602,Spain,1990,ed,16.96479999998935,Edge density,m / ha,Density of forest-matrix edges
ESP_S5,ESP_0602,Spain,1990,lpi,7.1488,Largest patch index,%,Dominance of the largest forest patch
ESP_S5,ESP_0602,Spain,1990,cohesion,97.95002839887303,Patch cohesion index,%,Structural connectedness
ESP_S5,ESP_0602,Spain,1990,enn_mn,355.81238529598676,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S5,ESP_0602,Spain,1990,ai,87.05271306215198,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S5,ESP_0602,Spain,2000,pland,32.230399999999996,Percentage of landscape,%,Forest habitat amount
ESP_S5,ESP_0602,Spain,2000,np,56,Number of patches,count,Absolute patch subdivision
ESP_S5,ESP_0602,Spain,2000,pd,0.0896,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S5,ESP_0602,Spain,2000,ed,16.929599999989176,Edge density,m / ha,Density of forest-matrix edges
ESP_S5,ESP_0602,Spain,2000,lpi,7.1488,Largest patch index,%,Dominance of the largest forest patch
ESP_S5,ESP_0602,Spain,2000,cohesion,97.95092621102216,Patch cohesion index,%,Structural connectedness
ESP_S5,ESP_0602,Spain,2000,enn_mn,355.81238529598676,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S5,ESP_0602,Spain,2000,ai,87.06379362063794,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S5,ESP_0602,Spain,2006,pland,44.0096,Percentage of landscape,%,Forest habitat amount
ESP_S5,ESP_0602,Spain,2006,np,87,Number of patches,count,Absolute patch subdivision
ESP_S5,ESP_0602,Spain,2006,pd,0.1392,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S5,ESP_0602,Spain,2006,ed,21.892799999993027,Edge density,m / ha,Density of forest-matrix edges
ESP_S5,ESP_0602,Spain,2006,lpi,21.787200000000002,Largest patch index,%,Dominance of the largest forest patch
ESP_S5,ESP_0602,Spain,2006,cohesion,99.18646148607222,Patch cohesion index,%,Structural connectedness
ESP_S5,ESP_0602,Spain,2006,enn_mn,247.32966137728783,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S5,ESP_0602,Spain,2006,ai,87.68471104608632,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S5,ESP_0602,Spain,2012,pland,43.6288,Percentage of landscape,%,Forest habitat amount
ESP_S5,ESP_0602,Spain,2012,np,87,Number of patches,count,Absolute patch subdivision
ESP_S5,ESP_0602,Spain,2012,pd,0.1392,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S5,ESP_0602,Spain,2012,ed,22.00799999999293,Edge density,m / ha,Density of forest-matrix edges
